"Ctry_code"|"Reg_Code"|"Reg_label"|"Up_reg_code"|"Up_reg_label"
"US"|"US19061"|"Dubuque County, IA"|"US101"|"MADISON-BARABOO - WI"
"US"|"US19063"|"Emmet County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19065"|"Fayette County, IA"|"US175"|"WATERLOO-CEDAR FALLS - IA"
"US"|"US19067"|"Floyd County, IA"|"US103"|"MASON CITY - IA"
"US"|"US19069"|"Franklin County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19071"|"Fremont County, IA"|"US120"|"OMAHA-COUNCIL BLUFFS-FREMONT - NE-IA"
"US"|"US19073"|"Greene County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19075"|"Grundy County, IA"|"US175"|"WATERLOO-CEDAR FALLS - IA"
"US"|"US19077"|"Guthrie County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19079"|"Hamilton County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19081"|"Hancock County, IA"|"US103"|"MASON CITY - IA"
"US"|"US19083"|"Hardin County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19085"|"Harrison County, IA"|"US120"|"OMAHA-COUNCIL BLUFFS-FREMONT - NE-IA"
"US"|"US19087"|"Henry County, IA"|"US126"|"PEORIA-CANTON - IL"
"US"|"US19089"|"Howard County, IA"|"US103"|"MASON CITY - IA"
"US"|"US19091"|"Humboldt County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19093"|"Ida County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19095"|"Iowa County, IA"|"US027"|"CEDAR RAPIDS - IA"
"US"|"US19097"|"Jackson County, IA"|"US101"|"MADISON-BARABOO - WI"
"US"|"US19099"|"Jasper County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19101"|"Jefferson County, IA"|"US126"|"PEORIA-CANTON - IL"
"US"|"US19103"|"Johnson County, IA"|"US027"|"CEDAR RAPIDS - IA"
"US"|"US19105"|"Jones County, IA"|"US027"|"CEDAR RAPIDS - IA"
"US"|"US19107"|"Keokuk County, IA"|"US027"|"CEDAR RAPIDS - IA"
"US"|"US19109"|"Kossuth County, IA"|"US103"|"MASON CITY - IA"
"US"|"US19111"|"Lee County, IA"|"US126"|"PEORIA-CANTON - IL"
"US"|"US19113"|"Linn County, IA"|"US027"|"CEDAR RAPIDS - IA"
"US"|"US19115"|"Louisa County, IA"|"US027"|"CEDAR RAPIDS - IA"
"US"|"US19117"|"Lucas County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19119"|"Lyon County, IA"|"US155"|"SIOUX FALLS - SD"
"US"|"US19121"|"Madison County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19123"|"Mahaska County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19125"|"Marion County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19127"|"Marshall County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19129"|"Mills County, IA"|"US120"|"OMAHA-COUNCIL BLUFFS-FREMONT - NE-IA"
"US"|"US19131"|"Mitchell County, IA"|"US103"|"MASON CITY - IA"
"US"|"US19133"|"Monona County, IA"|"US154"|"SIOUX CITY-VERMILLION - IA-NE-SD"
"US"|"US19135"|"Monroe County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19137"|"Montgomery County, IA"|"US120"|"OMAHA-COUNCIL BLUFFS-FREMONT - NE-IA"
"US"|"US19139"|"Muscatine County, IA"|"US027"|"CEDAR RAPIDS - IA"
"US"|"US19141"|"O'Brien County, IA"|"US154"|"SIOUX CITY-VERMILLION - IA-NE-SD"
"US"|"US19143"|"Osceola County, IA"|"US154"|"SIOUX CITY-VERMILLION - IA-NE-SD"
"US"|"US19145"|"Page County, IA"|"US120"|"OMAHA-COUNCIL BLUFFS-FREMONT - NE-IA"
"US"|"US19147"|"Palo Alto County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19149"|"Plymouth County, IA"|"US154"|"SIOUX CITY-VERMILLION - IA-NE-SD"
"US"|"US19151"|"Pocahontas County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19153"|"Polk County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19155"|"Pottawattamie County, IA"|"US120"|"OMAHA-COUNCIL BLUFFS-FREMONT - NE-IA"
"US"|"US19157"|"Poweshiek County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19159"|"Ringgold County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19161"|"Sac County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19163"|"Scott County, IA"|"US043"|"DAVENPORT-MOLINE-ROCK ISLAND - IA-IL"
"US"|"US19165"|"Shelby County, IA"|"US120"|"OMAHA-COUNCIL BLUFFS-FREMONT - NE-IA"
"US"|"US19167"|"Sioux County, IA"|"US154"|"SIOUX CITY-VERMILLION - IA-NE-SD"
"US"|"US19169"|"Story County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19171"|"Tama County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19173"|"Taylor County, IA"|"US120"|"OMAHA-COUNCIL BLUFFS-FREMONT - NE-IA"
"US"|"US19175"|"Union County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19177"|"Van Buren County, IA"|"US126"|"PEORIA-CANTON - IL"
"US"|"US19179"|"Wapello County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19181"|"Warren County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19183"|"Washington County, IA"|"US027"|"CEDAR RAPIDS - IA"
"US"|"US19185"|"Wayne County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19187"|"Webster County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19189"|"Winnebago County, IA"|"US103"|"MASON CITY - IA"
"US"|"US19191"|"Winneshiek County, IA"|"US103"|"MASON CITY - IA"
"US"|"US19193"|"Woodbury County, IA"|"US154"|"SIOUX CITY-VERMILLION - IA-NE-SD"
"US"|"US19195"|"Worth County, IA"|"US103"|"MASON CITY - IA"
"US"|"US19197"|"Wright County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US20001"|"Allen County, KS"|"US083"|"JOPLIN - MO"
"US"|"US20003"|"Anderson County, KS"|"US084"|"KANSAS CITY-OVERLAND PARK-KANSAS CITY - MO-KS"
"US"|"US20005"|"Atchison County, KS"|"US084"|"KANSAS CITY-OVERLAND PARK-KANSAS CITY - MO-KS"
"US"|"US20007"|"Barber County, KS"|"US179"|"WICHITA-WINFIELD - KS"
"US"|"US20009"|"Barton County, KS"|"US179"|"WICHITA-WINFIELD - KS"
"US"|"US20011"|"Bourbon County, KS"|"US083"|"JOPLIN - MO"
"US"|"US20013"|"Brown County, KS"|"US167"|"TOPEKA - KS"
"US"|"US20015"|"Butler County, KS"|"US179"|"WICHITA-WINFIELD - KS"
"US"|"US20017"|"Chase County, KS"|"US167"|"TOPEKA - KS"
"US"|"US20019"|"Chautauqua County, KS"|"US179"|"WICHITA-WINFIELD - KS"
"US"|"US20021"|"Cherokee County, KS"|"US083"|"JOPLIN - MO"
"US"|"US20023"|"Cheyenne County, KS"|"US141"|"SALINA - KS"
"US"|"US20025"|"Clark County, KS"|"US179"|"WICHITA-WINFIELD - KS"
"US"|"US20027"|"Clay County, KS"|"US167"|"TOPEKA - KS"
"US"|"US20029"|"Cloud County, KS"|"US141"|"SALINA - KS"
"US"|"US20031"|"Coffey County, KS"|"US167"|"TOPEKA - KS"
"US"|"US20033"|"Comanche County, KS"|"US179"|"WICHITA-WINFIELD - KS"
"US"|"US20035"|"Cowley County, KS"|"US179"|"WICHITA-WINFIELD - KS"
"US"|"US20037"|"Crawford County, KS"|"US083"|"JOPLIN - MO"
"US"|"US20039"|"Decatur County, KS"|"US141"|"SALINA - KS"
"US"|"US20041"|"Dickinson County, KS"|"US167"|"TOPEKA - KS"
"US"|"US20043"|"Doniphan County, KS"|"US084"|"KANSAS CITY-OVERLAND PARK-KANSAS CITY - MO-KS"
"US"|"US20045"|"Douglas County, KS"|"US084"|"KANSAS CITY-OVERLAND PARK-KANSAS CITY - MO-KS"
"US"|"US20047"|"Edwards County, KS"|"US179"|"WICHITA-WINFIELD - KS"
"US"|"US20049"|"Elk County, KS"|"US179"|"WICHITA-WINFIELD - KS"
"US"|"US20051"|"Ellis County, KS"|"US141"|"SALINA - KS"
"US"|"US20053"|"Ellsworth County, KS"|"US141"|"SALINA - KS"
"US"|"US20055"|"Finney County, KS"|"US179"|"WICHITA-WINFIELD - KS"
"US"|"US20057"|"Ford County, KS"|"US179"|"WICHITA-WINFIELD - KS"
"US"|"US20059"|"Franklin County, KS"|"US084"|"KANSAS CITY-OVERLAND PARK-KANSAS CITY - MO-KS"
"US"|"US20061"|"Geary County, KS"|"US167"|"TOPEKA - KS"
"US"|"US20063"|"Gove County, KS"|"US141"|"SALINA - KS"
"US"|"US20065"|"Graham County, KS"|"US141"|"SALINA - KS"
"US"|"US20067"|"Grant County, KS"|"US179"|"WICHITA-WINFIELD - KS"
"US"|"US20069"|"Gray County, KS"|"US179"|"WICHITA-WINFIELD - KS"
"US"|"US20071"|"Greeley County, KS"|"US179"|"WICHITA-WINFIELD - KS"
"US"|"US20073"|"Greenwood County, KS"|"US179"|"WICHITA-WINFIELD - KS"
"US"|"US20075"|"Hamilton County, KS"|"US179"|"WICHITA-WINFIELD - KS"
"US"|"US20077"|"Harper County, KS"|"US179"|"WICHITA-WINFIELD - KS"
"US"|"US20079"|"Harvey County, KS"|"US179"|"WICHITA-WINFIELD - KS"
"US"|"US20081"|"Haskell County, KS"|"US179"|"WICHITA-WINFIELD - KS"
"US"|"US20083"|"Hodgeman County, KS"|"US179"|"WICHITA-WINFIELD - KS"
"US"|"US20085"|"Jackson County, KS"|"US167"|"TOPEKA - KS"
"US"|"US20087"|"Jefferson County, KS"|"US167"|"TOPEKA - KS"
"US"|"US20089"|"Jewell County, KS"|"US141"|"SALINA - KS"
"US"|"US20091"|"Johnson County, KS"|"US084"|"KANSAS CITY-OVERLAND PARK-KANSAS CITY - MO-KS"
